name,am_college_id,staff-directory,selector
Taylor University,31559,https://tarletonsports.com/staff-directory,
University of Pittsburgh-Bradford,32750,,
Five Towns College,32728,https://fulions.com/staff-directory,
Williston State College,35497,https://ephsports.williams.edu/staff-directory,
Aurora University,31406,https://athletics.aurora.edu/staff-directory,
Occidental College,32033,https://goyeo.com/staff-directory,
Porterville College,34913,https://plnusealions.com/staff-directory,
Babson College,31793,https://athletics.apu.edu/staff-directory,
Florida Gateway College,34984,https://fausports.com/staff-directory,
Wilmington University,34954,https://ephsports.williams.edu/staff-directory,
Belmont University,32876,https://abbeyathletics.com/staff-directory,
Bates College,30932,,
Florida State University,31744,https://fscmocs.com/staff-directory,
University of North Carolina Wilmington,32126,https://uncpbraves.com/staff-directory,
University of Florida,34981,https://udspartans.com/staff-directory?path=athletic_staff,
Wisconsin Lutheran College,33243,,
Pratt Manhattan-A Division of Pratt Institute,36444,https://goprattgo.com/staff-directory,
Benjamin Franklin Institute of Technology,31823,https://benueagles.com/staff-directory,
Fontbonne University,35280,https://fscmocs.com/staff-directory,
Fort Scott Community College,31633,https://goskyhawks.com/staff-directory,
University of Wisconsin-Eau Claire,35816,https://greenbayphoenix.com/staff-directory,
University of Wisconsin-La Crosse,33244,https://greenbayphoenix.com/staff-directory,
Haskell Indian Nations University,31624,,
Friends University,31621,https://gobulldogs.com/staff-directory,
Saint Vincent College,35602,https://athletics.stvincent.edu/staff-directory,
Midway University,31686,https://athletics.middlebury.edu/staff-directory,
Bunker Hill Community College,33034,https://buffalostateathletics.com/staff-directory,
Snow College-Richfield Campus,36387,https://snowbadgers.com/sports/general/staff,
Frederick Community College,35157,,
Franklin Pierce University,32121,https://www.fpuravens.com/information/directory/index,
Cabrini University,30945,https://cabriniathletics.com/staff-directory,
California State University-Fullerton,30991,https://csusbathletics.com/staff-directory,
University of Wisconsin-Platteville,33256,https://greenbayphoenix.com/staff-directory,
University of Wisconsin-River Falls,33257,https://greenbayphoenix.com/staff-directory,
California State University-San Bernardino,31049,https://csusbathletics.com/staff-directory,
Frontier Community College,33553,https://gobulldogs.com/staff-directory,
Fullerton College,31008,https://frostburgsports.com/sports/general/staff,
Garrett College,35158,https://gwusports.com/staff-directory,
Genesee Community College,35411,https://gwusports.com/staff-directory,
Georgetown University,34955,https://gwsports.com/staff-directory,
Georgia College & State University,31362,https://guhoyas.com/staff-directory,
Georgia Northwestern Technical College,31349,https://ggcathletics.com/staff-directory,
Georgia Southern University,31411,https://ggcathletics.com/staff-directory,
Southeastern Illinois College,31511,https://semoredhawks.com/staff-directory,
Kent State University at Kent,36866,https://kentstatesports.com/staff-directory,
Carson-Newman University,33126,,
University of Wisconsin-Madison,35817,https://greenbayphoenix.com/staff-directory,
University of Wisconsin-Superior,35819,https://greenbayphoenix.com/staff-directory,
University of Pittsburgh-Pittsburgh Campus,36743,https://pittgreensburgathletics.com/staff-directory,
University of Washington-Tacoma Campus,36584,https://gohuskies.com/staff-directory,
Andrew College,31336,https://andrew.prestosports.com/information/directory/index,
Georgia Southwestern State University,35000,https://www.gswcanes.com/information/Staff_Directory/index,
Central Baptist College,34835,https://cbcmustangs.com/information/directory/index,
Georgia Institute of Technology-Main Campus,31358,https://ramblinwreck.com/staff-directory/,
University of Wisconsin-Whitewater,32262,https://uwwsports.com/staff-directory,
Waldorf University,36147,http://www.waldorfwarriors.com/staff.php,
Wittenberg University,32589,https://www.wittenbergtigers.com/information/directory/index,
SUNY Broome Community College,35393,https://broomehornets.com/information/directory/index,
University of Arkansas at Monticello,32090,https://www.uamsports.com/staff-directory,
Gonzaga University,31748,https://gozags.com/staff-directory,
Goshen College,35060,https://goleafs.net/staff-directory,
Grace College of Divinity,34325,https://gclancers.com/staff-directory,
Lincoln Christian University,36044,https://www.lcuredlions.com/staff,
Wofford College,35675,https://woffordterriers.com/staff-directory,
Northwest Kansas Technical College,31660,https://www.ntmavericks.com/information/directory/index,
Chemeketa Community College,35547,https://gochathamcougars.com/staff-directory,
Mineral Area College,36064,,
The College of Wooster,32586,https://www.woosterathletics.com/information/directory/index,
Regent University,36104,https://regentroyals.com/staff-directory,
University of Oklahoma-Norman Campus,36944,https://soonersports.com/staff-directory,
Chesapeake College,35155,https://www.letsgoskipjacks.com/information/directory/index,
Rowan College of South Jersey Gloucester Campus,32173,https://www.rcroadrunners.com/information/directory/index,
Toccoa Falls College,35007,https://tfcathletics.com/staff-directory,
Worcester Polytechnic Institute,35211,https://athletics.wpi.edu/navbar_white/Staff_Directory/index,
Palo Verde College,31084,https://pbasailfish.com/staff-directory,
Northeast Alabama Community College,30825,https://northeasthawks.com/information/directory/index,
Yavapai College,30880,https://goroughriders.com/staff-directory,
Clemson University,35646,https://clemsontigers.com/staff-directory/,
Youngstown State University,35531,https://ysusports.com/staff-directory,
Cleveland State University,31283,https://www.cscougars.com/information/directory/index,
Pima Community College,30869,http://pimaaztecs.com/information/directory/index,
Union University,35695,https://uuathletics.com/staff-directory,
Pennsylvania State University-Main Campus,36946,https://www.psfathletics.com/information/directory/index,
Harding School of Theology,36403,https://hardingsports.com/staff-directory,
Brookhaven College,35701,https://athletics.brookhavencollege.edu/information/directory/index,
Cowley County Community College,31629,https://www.cowleytigers.com/information/directory/index,
Great Bay Community College,32596,https://www.gogreatbay.com/information/directory/index,
Dakota County Technical College,31951,https://daemenwildcats.com/staff-directory,
Gustavus Adolphus College,31958,https://www.collegefactual.com/colleges/gustavus-adolphus-college/student-life/sports/,
Hagerstown Community College,35153,https://www.hagerstowncc.edu/athletics,
Gavilan College,31011,https://www.gavilanrams.com/information/directory/index,
Gwynedd Mercy University,32709,https://www.mountmercymustangs.com/information/Staff_Directory/index,
Pennsylvania State University-Penn State Erie-Behrend College,36948,https://gopsusports.com/staff-directory,
Allen University,35639,https://auyellowjackets.com/staff-directory,
University of Antelope Valley,33888,https://www.uavpioneers.com/staff,
College of San Mateo,31112,https://collegeofsanmateo.edu/athletics/contactus.php,
Arizona Christian University,34834,https://www.acufirestorm.com/staff,
Southern Crescent Technical College,31359,,
Arkansas State University Mid-South,30908,https://www.asumidsouthsports.com/information/directory/index,
South Plains College,35737,,
University of Arkansas,34831,https://arkansasrazorbacks.com/staff-directory/,
Northeastern Junior College,31179,https://ntcceagles.com/staff-directory,
Trinidad State Junior College,31189,http://transysports.com/staff-directory,
California State University-Sacramento,31036,https://csusbathletics.com/staff-directory,
Rend Lake College,31498,https://regisrangers.com/staff-directory,
University of Rochester,32327,https://richmondspiders.com/staff-directory,
Salem College,35483,https://athletics.stvincent.edu/staff-directory,
Saint Michael's College,33159,https://smwcathletics.com/staff-directory,
Bacone College,32606,https://athletics.apu.edu/staff-directory,
Mercyhurst University,32743,https://hurstathletics.com/staff-directory,
Whittier College,32363,https://athletics.whitman.edu/staff-directory,
Diablo Valley College,31001,https://detroittitans.com/staff-directory,
Luther College,31977,https://lunaathletics.com/staff-directory,
Bethany Lutheran College,35230,https://blcvikings.com/staff-directory,
Surry Community College,36133,https://sullivangenerals.com/staff-directory,
Wesleyan College,31387,https://websterathletics.com/staff-directory,
Cameron University,32595,https://cameronaggies.com/staff-directory,
East Central Community College,31990,https://ecupirates.com/staff-directory,
Kirkwood Community College,31580,https://kccathletics.com/staff-directory,
Dominican University,31568,https://goconqs.com/staff-directory,
Endicott College,35188,https://esuhornets.com/staff-directory,
Blue Mountain Community College,35548,https://buhuskies.com/staff-directory,
Essex County College,32964,https://erskinesports.com/staff-directory,
Marymount University,33105,https://umterps.com/staff-directory,
Ferris State University,35208,https://fsubroncos.com/staff-directory,
Fisk University,35686,https://fulions.com/staff-directory,
Western Oklahoma State College,32635,https://pioneers.wosc.edu/information/directory/index,
Fresno City College,31005,https://fresnocc.prestosports.com/information/directory/index,
Sacramento City College,31103,https://www.sccpanthers.com/information/directory/index,
Dakota Wesleyan University,32864,https://dwuathletics.com/information/directory/index,
University of Dayton,32517,https://daytonflyers.com/staff-directory,
Guilford Technical Community College,32420,https://guilfordquakers.com/staff-directory,
St Cloud Technical and Community College,35238,https://sctccathletics.com/information/directory/index,
Harford Community College,35160,https://harfordathletics.com/staff-directory,
Dillard University,34464,https://detroittitans.com/staff-directory,
Herkimer County Community College,35414,https://www.herkimergenerals.com/inside-athletics/athletic-administration/,
Dominican College of Blauvelt,32269,https://www.chargerathletics.com/information/staff/index,
Hope College,31895,https://athletics.hope.edu/information/directory/home,
Howard Community College,31771,https://howardccdragons.com/staff-directory,
